unix,open,high,low,close
1640312160,51252.4,51252.41,51231.03,51231.03
1640312100,51276.57,51276.57,51271.49,51272.4
1640312040,51292.65,51298.29,51248.38,51248.38
1640311980,51348.99,51348.99,51329.11,51329.11
1640311920,51332.5,51353.3,51332.5,51353.3
1640311860,51393.71,51393.71,51354.13,51361.51
1640311800,51400.31,51411.53,51376.55,51393.71
1640311740,51318.1,51446.16,51318.1,51408.46
1640311680,51308.62,51318.1,51292.65,51292.65
1640311620,51350.29,51350.29,51350.28,51350.28
1640311560,51371.87,51403.81,51370.59,51379.79
1640311500,51491.18,51491.18,51392.61,51392.61
1640311440,51518.04,51533,51508,51533
1640311380,51498.19,51519.1,51498.19,51519.1
1640311320,51466.47,51487.53,51439.5,51487.53
1640311260,51395.5,51500,51392.5,51458.07
1640311200,51378.7,51399,51347.19,51384.65
1640311140,51365.49,51368.5,51365.49,51368.5
1640311080,51288,51377.23,51281.99,51365.49
1640311020,51283.5,51321.51,51256,51308.4
1640310960,51283.5,51300,51272.61,51300
1640310900,51265,51283.12,51265,51283.12
1640310840,51233.5,51256,51233.5,51256
1640310780,51249,51249,51224.72,51237.5
1640310720,51252.89,51257.5,51249,51249
1640310660,51246.82,51256.54,51246.82,51256.54
1640310600,51169.17,51241.11,51169.17,51241.11
1640310540,51189.2,51189.2,51176.5,51176.5
1640310480,51162.63,51203.41,51162.63,51175.5
1640310420,51262.99,51268.97,51210.62,51217.08
1640310360,51260,51270.47,51260,51270.47
1640310300,51281.49,51296.49,51279.48,51280.32
1640310240,51271.79,51292.79,51271.79,51292.79
1640310180,51259.5,51333.9,51259.5,51286.48
1640310120,51227.58,51242.11,51215.72,51241.87
1640310060,51237.38,51237.38,51213.58,51213.58
1640310000,51251.38,51251.38,51206.32,51206.32
1640309940,51306.75,51314.63,51277.87,51278.44
1640309880,51224.62,51323.46,51224.62,51310.96
1640309820,51237.05,51237.05,51197.87,51197.87
1640309760,51327.48,51333.9,51221.26,51221.26
1640309700,51250.9,51327.47,51250.87,51327.47
1640309640,51235.46,51264.01,51235.46,51257.92
1640309580,51225.5,51235.46,51225.5,51235.46
1640309520,51229.42,51237.66,51158.13,51237
1640309460,51210.6,51249.8,51206.5,51249.8
1640309400,51131.99,51198.56,51119.24,51198.56
1640309340,51113.95,51127.57,51113.87,51117.76
1640309280,51082.85,51113.95,51082.85,51113.49
1640309220,51101.25,51101.56,51101.25,51101.56
1640309160,51114,51129.49,51095.84,51095.84
1640309100,51070.5,51102,51030,51102
1640309040,51101.99,51101.99,51075.5,51075.5
1640308980,51022.84,51064.92,51022.84,51064.92
1640308920,51025.49,51035.69,50987.5,51035.69
1640308860,51031.97,51032,51031.97,51032
1640308800,51003.86,51087.72,50996.17,51062.99
1640308740,51066,51079.86,51012.36,51031.14
1640308680,51121.88,51121.88,51064.55,51073.18
1640308620,51142.4,51142.4,51107.46,51121.99
1640308560,51182.37,51197.5,51167.28,51197.5
1640308500,51200.11,51202.06,51175.56,51198.55
1640308440,51171.2,51198.27,51159.83,51198.27
1640308380,51141.74,51190.73,51141.74,51190.73
1640308320,51144.96,51178.51,51144.96,51175.57
1640308260,51121.5,51227.48,51119.29,51174.9
1640308200,51044.25,51257.11,51018.57,51165.37
1640308140,51022.34,51048,51022.34,51026.54
1640308080,51007,51036.85,51007,51036.85
1640308020,51000,51002,51000,51002
1640307960,50981.58,50988.74,50981.48,50988.74
1640307900,50962.43,50981.93,50952.29,50981.58
1640307840,50980.03,50984,50975.92,50984
1640307780,50919.12,50964.26,50900.5,50964.26
1640307720,50894.56,50944.52,50870.18,50935.46
1640307660,50908.72,50908.72,50881.02,50885.52
1640307600,50908.85,50927.62,50908.85,50916.32
1640307540,50964.45,50969.83,50907.78,50907.78
1640307480,50945.73,51000,50939.73,50996.95
1640307420,50933.33,50948.1,50933.33,50946.81
1640307360,50915.42,50932.83,50915.42,50932.83
1640307300,50931.63,50931.63,50931.63,50931.63
1640307240,50908.32,50916.82,50908.32,50916.81
1640307180,50874.16,50899.21,50874.16,50895.95
1640307120,50880.92,50886.02,50847.41,50870
1640307060,50818.08,50873.91,50815.9,50873.91
1640307000,50822.61,50838.97,50799.14,50799.14
1640306940,50822.61,50822.61,50822.61,50822.61
1640306880,50838.99,50838.99,50815.71,50815.71
1640306820,50813,50838.99,50813,50838.99
1640306760,50805.1,50833.21,50805.1,50813
1640306700,50806.8,50806.9,50806.8,50806.9
1640306640,50754.79,50783.91,50754.79,50769.52
1640306580,50746.31,50766.68,50736.87,50754.79
1640306520,50789.4,50789.4,50788.36,50788.36
1640306460,50812.4,50812.4,50783.3,50783.3
1640306400,50803.05,50812.4,50787.56,50787.56
1640306340,50765.3,50810.5,50765.3,50808.14
1640306280,50791.9,50791.9,50772.47,50791.9
1640306220,50822.91,50822.91,50785.9,50785.9
1640306160,50832.12,50836.07,50794.97,50814.6
